Name,Type,MV,Colors,Cost,Sub-types,Produced,Flags,Power,FlagsVer
A.I.M. Labs,Land,0,B U,,,U B,etb-tapped,,3
A.I.M. Synthoids,Creature,2,,{2},Robot;Villain,,,1,3
Aang's Iceberg,Enchantment,3,W,{2}{W},,,,,3
"Aang, Swift Savior",Creature,3,U W,{1}{W}{U},Human;Avatar;Ally,,,2,3
Aberrant Manawurm,Creature,4,G,{3}{G},Wurm,,,2,3
"Abigale, Poet Laureate // Heroic Stanza",Creature,3,B W,{1}{W}{B} // {1}{W/B},Bird;Bard,,,2,3
Abolish,Instant,3,W,{1}{W}{W},,,removal,,3
"Abomination, Terrifying Titan",Creature,4,G R,{3}{R/G},Gamma;Villain,,,4,3
About Face,Instant,1,R,{R},,,,,3
Abrade,Instant,2,R,{1}{R},,,removal,,3
Absolute Grace,Enchantment,2,W,{1}{W},,,,,3
Absorb,Instant,3,U W,{W}{U}{U},,,counter,,3
Absorbing Man,Creature,3,G U,{1}{G}{U},Human;Villain,,,4,3
Abundant Growth,Enchantment,1,G,{G},Aura,W U B R G,draw,,3
Abyssal Specter,Creature,4,B,{2}{B}{B},Specter,,,2,3
Abzan Monument,Artifact,2,B G W,{2},,,fetch:basic-forest;fetch:basic-plains;fetch:basic-swamp,,3
Accumulated Knowledge,Instant,2,U,{1}{U},,,draw,,3
Acquired Mutation,Enchantment,3,R,{2}{R},Aura,,,,3
Action News Crew,Creature,2,W,{1}{W},Human;Citizen,,draw,2,3
Adelbert Steiner,Creature,2,W,{1}{W},Human;Knight,,,2,3
"Adeline, Resplendent Cathar",Creature,3,W,{1}{W}{W},Human;Knight,,,*,3
Adrenaline Jockey,Creature,3,R,{2}{R},Minotaur;Pilot,,,3,3
Advanced Reconstruction,Enchantment,4,R,{3}{R},Class,,,,3
Advancing the Spirit,Enchantment,3,G,{2}{G},,,draw,,3
Adventurer's Airship,Artifact,3,,{3},Vehicle,,draw,3,3
Adventuring Gear,Artifact,1,,{1},Equipment,,,,3
Aegis of the Meek,Artifact,3,,{3},,,,,3
Aerial Doombot,Creature,1,U,{U},Robot;Villain,,,1,3
Aerith Rescue Mission,Sorcery,4,W,{3}{W},,,,,3
"Aerith, Last Ancient",Creature,4,G W,{2}{G}{W},Human;Cleric;Druid,,,3,3
Aetherize,Instant,4,U,{3}{U},,,,,3
Aetherjacket,Creature,3,,{3},Thopter,,,2,3
Afterlife,Instant,3,W,{2}{W},,,removal,,3
Aftermath Analyst,Creature,2,G,{1}{G},Elf;Detective,,,1,3
Agency Coroner,Creature,5,B,{4}{B},Ogre;Cleric,,draw,3,3
"Agent 13, Sharon Carter",Creature,3,W,{2}{W},Human;Spy;Hero,,draw,3,3
Agent Maria Hill,Creature,1,W,{W},Human;Spy;Hero,,draw,2,3
Agent Phil Coulson,Creature,2,W,{1}{W},Human;Spy;Hero,,,2,3
Agent Venom,Creature,3,B,{2}{B},Symbiote;Soldier;Hero,,draw,2,3
Agent of Atlas,Creature,2,W,{1}{W},Human;Spy;Hero,,,2,3
Agents of HYDRA,Creature,2,B,{1}{B},Human;Spy;Villain,,,1,3
Agents of S.H.I.E.L.D.,Creature,3,W,{2}{W},Human;Spy;Hero,,,2,3
Aggression,Enchantment,3,R,{2}{R},Aura,,,,3
Agility Bobblehead,Artifact,3,,{3},Bobblehead,W U B R G,ramp;rock,,3
Agna Qel'a,Land,0,U,,,U,draw;etb-tapped-cond,,3
Agonizing Memories,Sorcery,4,B,{2}{B}{B},,,,,3
Ahriman,Creature,3,B,{2}{B},Eye;Horror,,draw,2,3
Air Bladder,Enchantment,1,U,{U},Aura,,,,3
Air Nomad Legacy,Enchantment,2,U W,{W}{U},,,draw,,3
Airbending Lesson,Instant,3,W,{2}{W},Lesson,,draw,,3
Airship Crash,Instant,3,G,{2}{G},,,draw;removal,,3
Ajani's Pridemate,Creature,2,W,{1}{W},Cat;Soldier,,,2,3
Ajani's Response,Instant,5,W,{4}{W},,,removal,,3
Akoum Refuge,Land,0,B R,,,B R,etb-tapped,,3
Al Bhed Salvagers,Creature,3,B,{2}{B},Human;Artificer;Warrior,,,2,3
Alabaster Wall,Creature,3,W,{2}{W},Wall,,,0,3
Alacrian Armory,Artifact,4,W,{3}{W},,,,,3
Alacrian Jaguar,Creature,5,G,{4}{G},Cat;Mount,,,4,3
Aladdin's Ring,Artifact,8,,{8},,,,,3
Alarum,Instant,2,W,{1}{W},,,,,3
Alien Invasion,Enchantment,4,G R,{1}{R}{R}{G},,,,,3
Alien Symbiosis,Enchantment,2,B,{1}{B},Aura,,,,3
Alisaie Leveilleur,Creature,3,W,{2}{W},Elf;Wizard,,,3,3
All That Glitters,Enchantment,2,W,{1}{W},Aura,,,,3
All-Fates Scroll,Artifact,3,,{3},,W U B R G,draw;ramp;rock,,3
Alley Grifters,Creature,3,B,{1}{B}{B},Human;Mercenary,,,2,3
Almost Perfect,Enchantment,6,G W,{4}{G}{W},Aura,,,,3
Along the Crooked Way,Enchantment,3,B,{2}{B},,,,,3
Alphinaud Leveilleur,Creature,4,U,{3}{U},Elf;Wizard,,draw,2,3
Amazing Acrobatics,Instant,3,U,{1}{U}{U},,,counter,,3
Ambition's Cost,Sorcery,4,B,{3}{B},,,draw,,3
Ambrosia Whiteheart,Creature,2,W,{1}{W},Bird,,,2,3
Ambush Gigapede,Creature,6,B,{4}{B}{B},Insect,,,6,3
An Offer You Can't Refuse,Instant,1,U,{U},,W U B R G,counter,,3
An Unexpected Party // At the Door,Enchantment,4,W,{2}{W}{W} // {X}{2}{W},,,,,3
Anaba Bodyguard,Creature,4,R,{3}{R},Minotaur,,,2,3
Ancestral Mask,Enchantment,3,G,{2}{G},Aura,,,,3
Angel of Indemnity,Creature,6,W,{5}{W},Angel;Warrior,,,5,3
Angelic Blessing,Sorcery,3,W,{2}{W},,,,,3
Angelic Curator,Creature,2,W,{1}{W},Angel;Spirit,,,1,3
Angelic Favor,Instant,4,W,{3}{W},,,,,3
Angelic Renewal,Enchantment,2,W,{1}{W},,,,,3
Anger,Creature,4,R,{3}{R},Incarnation,,,2,3
Angler Turtle,Creature,7,U,{5}{U}{U},Turtle,,,5,3
Angry Mob,Creature,4,W,{2}{W}{W},Human,,,2+*,3
Angry Rabble,Creature,2,R,{1}{R},Human;Citizen,,,2,3
Animal Friend,Enchantment,2,G,{1}{G},Aura,,,,3
Ankle Biter,Creature,1,G,{G},Snake,,,1,3
Annie Joins Up,Enchantment,4,G R W,{1}{R}{G}{W},,,,,3
Annul,Instant,1,U,{U},,,counter,,3
Another Round,Sorcery,3,W,{X}{X}{2}{W},,,,,3
Ant-Man's Air Force,Creature,2,U,{1}{U},Insect,,,2,3
Ant-Man's Army,Creature,3,G,{2}{G},Insect,W U B R G,dork;ramp,3,3
"Ant-Man, Colony Commander",Creature,3,G U,{1}{G}{U},Human;Rogue;Hero,,,2,3
"Ant-Man, Elusive Avenger",Creature,3,R U,{1}{U}{R},Human;Rogue;Hero,,,1,3
"Anti-Venom, Horrifying Healer",Creature,5,W,{W}{W}{W}{W}{W},Symbiote;Hero,,,5,3
Anzrag's Rampage,Sorcery,5,R,{3}{R}{R},,,wipe,,3
"Ao, the Dawn Sky",Creature,5,W,{3}{W}{W},Dragon;Spirit,,,5,3
Apathy,Enchantment,1,U,{U},Aura,,,,3
Apocalypse Runner,Artifact,4,B R,{2}{B}{R},Vehicle,,,6,3
"Appa, Loyal Sky Bison",Creature,6,W,{4}{W}{W},Bison;Ally,,,4,3
Aquitect's Defenses,Enchantment,2,U,{1}{U},Aura,,,,3
"Arachne, Psionic Weaver",Creature,3,W,{2}{W},Spider;Human;Hero,,,3,3
"Aragorn and Arwen, Wed",Creature,6,G W,{4}{G}{W},Human;Elf;Noble,,,3,3
"Araña, Heart of the Spider",Creature,3,R W,{1}{R}{W},Spider;Human;Hero,,,3,3
Arc Mage,Creature,3,R,{2}{R},Human;Spellshaper,,,2,3
Arc Reactor,Artifact,5,,{5},,C,mana3;ramp;rock,,3
Arcane Denial,Instant,2,U,{1}{U},,,counter;draw,,3
Arcane Laboratory,Enchantment,3,U,{2}{U},,,,,3
Arcane Sanctum,Land,0,B U W,,,W U B,etb-tapped;mana2,,3
Arcane Signet,Artifact,2,,{2},,W U B R G,ramp;rock,,3
Archaeomancer's Map,Artifact,3,W,{2}{W},,,fetch:basic-plains;ramp,,3
Archfiend of Depravity,Creature,5,B,{3}{B}{B},Demon,,,5,3
Archivist,Creature,4,U,{2}{U}{U},Human;Wizard,,draw,1,3
Archmage Emeritus,Creature,4,U,{2}{U}{U},Human;Wizard,,draw,2,3
Archon of Redemption,Creature,5,W,{3}{W}{W},Archon,,,3,3
"Ardbert, Warrior of Darkness",Creature,3,B W,{1}{W}{B},Spirit;Warrior,,,2,3
Ardent Militia,Creature,5,W,{4}{W},Human;Soldier,,,2,3
"Ardyn, the Usurper",Creature,8,B,{5}{B}{B}{B},Elder;Human;Noble,,,4,3
Ark of Hunger,Artifact,4,R W,{2}{R}{W},,,,,3
Armored Pegasus,Creature,2,W,{1}{W},Pegasus,,,1,3
Armory Automaton,Creature,3,,{3},Construct,,,2,3
Armory Paladin,Creature,3,R W,{1}{R}{W},Human;Knight,,,3,3
"Arnim Zola, Bio-Fanatic",Creature,3,B,{2}{B},Scientist;Villain,,,2,3
"Arnyn, Deathbloom Botanist",Creature,3,B,{2}{B},Vampire;Druid,,,2,3
Artistic Process,Sorcery,5,R,{3}{R}{R},,,,,3
Asgardian Citadel,Land,0,R W,,,W R,etb-tapped,,3
Ash Barrens,Land,0,,,,C,fetch:basic,,3
"Ashe, Princess of Dalmasca",Creature,3,W,{2}{W},Human;Rebel;Noble,,,3,3
"Ashling, Rekindled",Creature,2,R U,{1}{R},Elemental;Sorcerer,W U B R G,draw;mana-restricted,1,3
Assassin's Trophy,Instant,2,B G,{B}{G},,,removal,,3
Assert Perfection,Sorcery,2,G,{1}{G},,,,,3
Astrologian's Planisphere,Artifact,2,U,{1}{U},Equipment,,,,3
"Atarka, World Render",Creature,7,G R,{5}{R}{G},Dragon,,,6,3
Atlantean Cavalry,Creature,3,U,{2}{U},Merfolk;Soldier,,,3,3
Atlantean Skirmisher,Creature,2,U,{1}{U},Merfolk;Rogue,,draw,1,3
Atlantis Attacks,Sorcery,7,U,{5}{U}{U},,,,,3
"Atsushi, the Blazing Sky",Creature,4,R,{2}{R}{R},Dragon;Spirit,,,4,3
Attercop,Creature,2,G,{1}{G},Spider,,,2,3
"Attuma, Atlantean Warlord",Creature,4,U,{2}{U}{U},Merfolk;Warrior;Villain,,draw,3,3
"Augusta, Order Returned",Creature,3,W,{2}{W},Spirit;Advisor,,,1,3
Aunt May,Creature,1,W,{W},Human;Citizen,,,0,3
Auntie's Sentence,Sorcery,2,B,{1}{B},,,,,3
Aura Flux,Enchantment,3,U,{2}{U},,,,,3
Aura Fracture,Enchantment,3,W,{2}{W},,,removal,,3
Aura of Silence,Enchantment,3,W,{1}{W}{W},,,removal,,3
Aurochs,Creature,4,G,{3}{G},Aurochs,,,2,3
Auspicious Arrival,Instant,2,W,{1}{W},,,draw,,3
Austere Command,Sorcery,6,W,{4}{W}{W},,,wipe,,3
Authority of the Consuls,Enchantment,1,W,{W},,,,,3
Avalanche Riders,Creature,4,R,{3}{R},Human;Nomad,,,2,3
Avalanche of Sector 7,Creature,3,R,{2}{R},Human;Rebel,,,*,3
Avatar Enthusiasts,Creature,3,W,{2}{W},Human;Peasant;Ally,,,2,3
Avatar of Hope,Creature,8,W,{6}{W}{W},Avatar,,,4,3
Avatar of Will,Creature,8,U,{6}{U}{U},Avatar,,,5,3
Avatar's Wrath,Sorcery,4,W,{2}{W}{W},,,,,3
Aven Gagglemaster,Creature,5,W,{3}{W}{W},Bird;Warrior,,,4,3
Avenge,Sorcery,6,W,{4}{W}{W},,,wipe,,3
Avengers Assemble!,Enchantment,5,W,{4}{W},,,draw,,3
Avengers Disassembled,Sorcery,3,R,{1}{R}{R},,,removal,,3
Avengers Hangar,Land,0,U W,,,W U,etb-tapped,,3
Avengers Quinjet,Artifact,5,,{5},Vehicle,,,4,3
Avengers Tower,Land,0,,,,W U B R G C,mana-restricted,,3
Avishkar Raceway,Land,0,,,,C,draw,,3
Awakening Zone,Enchantment,3,G,{2}{G},,C,,,3
Axgard Cavalry,Creature,2,R,{1}{R},Dwarf;Berserker,,,2,3
Azimaet Drake,Creature,3,U,{2}{U},Drake,,,1,3
"Azog, Moria's Ruin",Creature,3,B,{2}{B},Goblin;Soldier,,draw,1,3
Azorius Signet,Artifact,2,U W,{2},,W U,mana2;ramp;rock,,3
"Azula, On the Hunt",Creature,4,B,{3}{B},Human;Noble,R,draw;mana2,4,3
Back on Track,Sorcery,5,B,{4}{B},,,,,3
Bagel and Schmear,Artifact,1,W,{1},Food,,draw,,3
Balamb T-Rexaur,Creature,6,G,{4}{G}{G},Dinosaur,,fetch:forest,6,3
Balduvian Barbarians,Creature,3,R,{1}{R}{R},Human;Barbarian,,,3,3
Balduvian Bears,Creature,2,G,{1}{G},Bear,,,2,3
Balduvian Shaman,Creature,1,U,{U},Human;Cleric;Shaman,,,1,3
Balefire Liege,Creature,5,R W,{2}{R/W}{R/W}{R/W},Spirit;Horror,,,2,3
Baleful Strix,Creature,2,B U,{U}{B},Bird,,draw,1,3
"Balin, Loremaster",Creature,5,R,{3}{R}{R},Dwarf;Bard,,draw,4,3
Ballista Squad,Creature,4,W,{3}{W},Human;Rebel,,,2,3
Baloth Woodcrasher,Creature,6,G,{4}{G}{G},Beast,,,4,3
Banishing Light,Enchantment,3,W,{2}{W},,,removal,,3
Barbarian Guides,Creature,3,R,{2}{R},Human;Barbarian,,,1,3
Barbed Field,Enchantment,4,R,{2}{R}{R},Aura,,,,3
Bard the Bowman,Creature,3,U W,{1}{W}{U},Human;Archer,,,1,3
Bard's Bow,Artifact,3,G,{2}{G},Equipment,,,,3
Bard's Company,Creature,4,U W,{2}{W}{U},Human;Citizen,,draw,2,3
"Bard, King of Dale",Creature,6,U W,{4}{W}{U},Human;Noble;Archer,,draw,3,3
Baron Helmut Zemo,Creature,3,B,{B}{B}{B},Human;Noble;Villain,,,3,3
"Baron Strucker, HYDRA Overlord",Creature,3,B,{2}{B},Human;Villain,,discount:villain:1;draw,2,3
Barrels of Blasting Jelly,Artifact,1,,{1},,W U B R G,,,3
Barret Wallace,Creature,4,R,{3}{R},Human;Rebel,,,4,3
"Barret, Avalanche Leader",Creature,4,G R,{2}{R}{G},Human;Rebel,,,4,3
Barrin's Codex,Artifact,4,,{4},Book,,draw,,3
Bartz and Boko,Creature,5,G,{3}{G}{G},Human;Bird,,,4,3
Basilisk Collar,Artifact,1,,{1},Equipment,,,,3
Bastion Protector,Creature,3,W,{2}{W},Human;Soldier,,,3,3
Bastion of Remembrance,Enchantment,3,B,{2}{B},,,,,3
Battle Rampart,Creature,3,R,{2}{R},Wall,,,1,3
Battlefield Forge,Land,0,R W,,,W R C,,,3
Battlefield Percher,Creature,5,B,{3}{B}{B},Bird,,,2,3
Baxter Building,Land,0,,,,W U B R G C,draw,,3
Beast Mode,Instant,2,G,{1}{G},,,,,3
Beast Within,Instant,3,G,{2}{G},,,removal,,3
Beast of Burden,Creature,6,,{6},Golem,,,*,3
Beastrider Vanguard,Creature,2,G,{1}{G},Human;Knight,,,2,3
"Beatrix, Loyal General",Creature,6,W,{4}{W}{W},Human;Soldier,,,4,3
"Beetle, Legacy Criminal",Creature,4,U,{3}{U},Human;Rogue;Villain,,,3,3
Befoul,Sorcery,4,B,{2}{B}{B},,,removal,,3
Behemoth Sledge,Artifact,3,G W,{1}{G}{W},Equipment,,,,3
Behind the Mask,Instant,1,U,{U},,,,,3
Behold the Sinister Six!,Sorcery,7,B,{6}{B},,,,,3
Bejeweled Warg,Creature,2,G,{1}{G},Wolf,W U B R G,dork;ramp,3,3
Belbe's Armor,Artifact,3,,{3},,,,,3
Belbe's Portal,Artifact,5,,{5},,,,,3
Beledros Witherbloom,Creature,7,B G,{5}{B}{G},Elder;Dragon,,,4,3
Belladonna Took,Creature,2,W,{1}{W},Halfling;Citizen,,draw,2,3
Benalish Knight,Creature,3,W,{2}{W},Human;Knight,,,2,3
Benalish Missionary,Creature,1,W,{W},Human;Cleric,,,1,3
Beorn the Fierce,Creature,5,G,{3}{G}{G},Bear;Shapeshifter;Warrior,,draw,6,3
Beorn's Hospitality,Enchantment,2,G,{1}{G},,,,,3
"Beorn, Reluctant Host // Till and Tend",Creature,5,G,{4}{G} // {1}{G},Human;Bear;Shapeshifter,,,5,3
Bestow Greatness,Instant,3,G,{2}{G},,,,,3
Betrothed of Fire,Enchantment,2,R,{1}{R},Aura,,,,3
Bewildering Blizzard,Instant,6,U,{4}{U}{U},,,draw,,3
Biblioplex Tomekeeper,Creature,4,,{4},Construct,,,3,3
Bident of Thassa,Artifact,4,U,{2}{U}{U},,,draw,,3
"Bifur, Melodic Rider",Creature,6,R W,{4}{R/W}{R/W},Dwarf;Bard,,,4,3
Big Bertha,Creature,1,G,{X}{G},Mutant;Hero,,,1,3
Big Score,Instant,4,R,{3}{R},,W U B R G,draw,,3
Bighorner Rancher,Creature,5,G,{4}{G},Human;Ranger,G,dork;ramp,2,3
"Bilbo Baggins, Burglar // Take a Glance",Creature,3,U,{2}{U} // {U},Halfling;Rogue,,draw,2,3
Bilbo's Burglaring,Sorcery,6,U,{4}{U}{U},,,,,3
Bilbo's Deadly Slice,Instant,3,B,{1}{B}{B},,,removal,,3
Bilbo's Gambit,Instant,2,W,{1}{W},,W U B R G,,,3
"Bilbo, Fellow Conspirator",Creature,3,G,{2}{G},Halfling;Citizen,,,2,3
"Bilbo, Luckwearer // Burglar's Plot",Creature,2,U,{1}{U} // {4}{U},Halfling;Rogue,,draw,1,3
