Card,Price,Tier,Replaces,Reason
Sigarda'S Aid,,Core,,"87% of Captain America, First Avenger decks run this — your pool can't fill this slot."
"Excalibur, Sword Of Eden",,Core,,"86% of Captain America, First Avenger decks run this — your pool can't fill this slot."
"Sram, Senior Edificer",,Core,,"76% of Captain America, First Avenger decks run this — your pool can't fill this slot."
Swiftfoot Boots,,Core,,"74% of Captain America, First Avenger decks run this — your pool can't fill this slot."
Sword Of War And Peace,,Core,,"71% of Captain America, First Avenger decks run this — your pool can't fill this slot."
Forge Anew,,Core,,"69% of Captain America, First Avenger decks run this — your pool can't fill this slot."
Basilisk Collar,,Core,,"69% of Captain America, First Avenger decks run this — your pool can't fill this slot."
Flawless Maneuver,,Core,,"69% of Captain America, First Avenger decks run this — your pool can't fill this slot."
Kaldra Compleat,,Value,,"64% of Captain America, First Avenger decks run this — your pool can't fill this slot."
Stoneforge Mystic,,Value,,"64% of Captain America, First Avenger decks run this — your pool can't fill this slot."
Hammer Of Nazahn,,Value,,"61% of Captain America, First Avenger decks run this — your pool can't fill this slot."
"Codsworth, Handy Helper",,Value,,"59% of Captain America, First Avenger decks run this — your pool can't fill this slot."
Sword Of Feast And Famine,,Value,,"59% of Captain America, First Avenger decks run this — your pool can't fill this slot."
"Dalakos, Crafter Of Wonders",,Value,,"58% of Captain America, First Avenger decks run this — your pool can't fill this slot."
