Name,Type
Arcane Signet,Artifact
Sol Ring,Artifact
Talisman of Progress,Artifact
Talisman of Conviction,Artifact
Talisman of Creativity,Artifact
Thought Vessel,Artifact
Relic of Legends,Artifact
Fellwar Stone,Artifact
Archaeomancer's Map,Artifact
Tome of Legends,Artifact
Mystic Remora,Enchantment
Visions of Beyond,Instant
Rhystic Study,Enchantment
Kindred Discovery,Enchantment
Reconnaissance Mission,Enchantment
Abrade,Instant
Dispatch,Instant
Swords to Plowshares,Instant
Metallic Mimic,Creature
Rip Apart,Sorcery
Seal of Cleansing,Enchantment
Seal of Fire,Enchantment
Hero's Blade,Artifact
Austere Command,Sorcery
Counterspell,Instant
Force of Will,Instant
Essence Scatter,Instant
Memory Lapse,Instant
Arcane Denial,Instant
Herald's Horn,Artifact
Door of Destinies,Artifact
Folk Hero,Enchantment
"Captain Marvel, Apex Avenger",Creature
"Captain America, Wings of Freedom",Creature
"Captain America, Super-Soldier",Creature
"Black Widow, Agile Avenger",Creature
Avengers Quinjet,Artifact
Spectacular Spider-Man,Creature
"Silver Sable, Mercenary Leader",Creature
"Mjölnir, Hammer of Thor",Artifact
"Captain Mar-Vell, Space-Born",Creature
"Thor, Asgard's Avenger",Creature
