Card,Added,Replaced,Source
Professional Face-Breaker,2026-08-10,Hard-Won Jitte,free
Unfinished Business,2026-08-10,Priest of Titania,free
"Yuffie, Materia Hunter",2026-08-10,"Bitterthorn, Nissa's Animus",free
Summoning Materia,2026-08-10,"Mjölnir, Hammer of Thor",free
"Cid, Freeflier Pilot",2026-08-11,All That Glitters,free
Professor Hojo,2026-08-11,Crop Rotation,free
"Bugenhagen, Wise Elder",2026-08-11,Fireshrieker,free
Wrecking Ball Arm,2026-08-11,Gift of Immortality,free
Ultimate Magic: Holy,2026-08-11,Hard-Won Jitte,free
Conformer Shuriken,2026-08-11,Priest of Titania,free
Professional Face-Breaker,2026-08-11,Tireless Tracker,free
Unfinished Business,2026-08-11,True Conviction,free
"Yuffie, Materia Hunter",2026-08-11,"Godo, Bandit Warlord",free
Summoning Materia,2026-08-11,Mantle of the Ancients,free
Bastion Protector,2026-08-11,"Bitterthorn, Nissa's Animus",free
Bonders' Enclave,2026-08-11,"Mjölnir, Hammer of Thor",share
Wrecking Ball Arm,2026-08-11,Buster Sword,free
"Cid, Freeflier Pilot",2026-08-11,"Cloud, Midgar Mercenary",free
Professor Hojo,2026-08-11,Forge Anew,free
"Bugenhagen, Wise Elder",2026-08-11,"Sram, Senior Edificer",free
"Codsworth, Handy Helper",2026-08-11,Priest of Titania,manual
Forge Anew,2026-08-11,Professor Hojo,manual-replace
Inventory Management,2026-08-11,Rip Apart,manual-replace
"Raubahn, Bull of Ala Mhigo",2026-08-11,Staff of the Storyteller,manual-replace
