Card,Added,Replaced,Source
"SP//dr, Piloted by Peni",2026-07-31,"Spider-Man, To the Rescue",free
Henge of Ramos,2026-07-31,Myriad Landscape,free
Willowrush Verge,2026-07-31,Sacred Peaks,free
Viridescent Bog,2026-07-31,University Campus,free
"SP//dr, Piloted by Peni",2026-07-31,"Arachne, Psionic Weaver",free
University Campus,2026-07-31,Henge of Ramos,free
"SP//dr, Piloted by Peni",2026-07-31,"Spider-Man, Web-Slinger",free
Amazing Acrobatics,2026-07-31,"SP//dr, Piloted by Peni (duplicate copy)",free
Wall Crawl,2026-07-31,"SP//dr, Piloted by Peni (duplicate copy)",free
Counterspell,2026-07-31,"SP//dr, Piloted by Peni (duplicate copy)",free
"Madame Web, Clairvoyant",2026-07-31,"SP//dr, Piloted by Peni (duplicate copy)",free
Origin of Spider-Man,2026-07-31,"SP//dr, Piloted by Peni (duplicate copy)",free
