Card,Added,Replaced,Source
Assassin's Trophy,2026-08-21,Death in the Family,share
Toxic Deluge,2026-08-21,Casualties of War,share
Beledros Witherbloom,2026-08-21,Eerie Gravestone,free
Sakura-Tribe Elder,2026-08-21,Explorer's Scope,share
Zulaport Cutthroat,2026-08-21,Glorious Decay,share
Blood Artist,2026-08-21,Instant Ramen,share
Defiling Daemogoth,2026-08-21,Nameless Inversion,free
Viscera Seer,2026-08-21,Origin of Metalbending,share
"Mazirek, Kraul Death Priest",2026-08-21,Plow Through,free
Elvish Mystic,2026-08-21,"Arnyn, Deathbloom Botanist",share
Tendershoot Dryad,2026-08-21,Eccentric Pestfinder // Turn Stones,free
Witch of the Moors,2026-08-21,"Emil, Vastlands Roamer",free
Moldervine Reclamation,2026-08-21,Unearth,free
Infernal Grasp,2026-08-21,Stir Up Trouble,share
Twilight Mire,2026-08-21,Avengers Tower,share
Bojuka Bog,2026-08-21,Crystal Vein,share
Fabled Passage,2026-08-21,Hobbit Hole,share
Exotic Orchard,2026-08-21,Scavenger Grounds,share
Viridescent Bog,2026-08-21,Subterranean Cavern,share
Festering Thicket,2026-08-21,Temple of the False God,share
Path of Ancestry,2026-08-21,The Gold Saucer,share
