Card,Added,Replaced,Source
Arcane Signet,2026-08-23,Fallen Angel,share
Lightning Greaves,2026-08-23,"Radiant, Archangel",share
Swiftfoot Boots,2026-08-23,Karmic Guide,share
Swords to Plowshares,2026-08-23,Emeria Angel,share
Path to Exile,2026-08-23,Fiendish Panda,share
Talisman of Hierarchy,2026-08-23,Herald of Serra,share
Boros Charm,2026-08-23,"Kardur, Doomscourge",share
Exotic Orchard,2026-08-23,Asgardian Citadel,share
Isolated Chapel,2026-08-23,Avengers Tower,share
Rogue's Passage,2026-08-23,Country Roads,share
Battlefield Forge,2026-08-23,Crystal Vein,share
Spectator Seating,2026-08-23,Dwarven Ruins,share
Evolving Wilds,2026-08-23,Fields of Strife,share
Bojuka Bog,2026-08-23,Glittering Massif,share
Talisman of Conviction,2026-08-23,Indulgent Tormentor,share
