Card,Price,Tier,Replaces,Reason
Torment of Hailfire,12,Core,Searing Wind,Premier X-finisher; with Kaervek's pings and doublers it ends the table.
Fiery Emancipation,8,Core,Blaze,Triples ALL your damage — Kaervek triggers and burn become lethal fast.
Sulfuric Vortex,8,Core,Two-Headed Dragon,Relentless symmetric damage + shuts off opponents' lifegain; classic punisher.
Underworld Dreams,8,Value,Squee\, Goblin Nabob,Every opponent draw costs life — pure group-slug taxation.
Manabarbs,6,Core,Warren Torchmaster,Every land tapped for mana deals damage — punishes the whole table.
Painful Quandary,6,Value,Magmatic Force,Taxes every noncreature spell 5 life; brutal in a slow damage shell.
Vicious Shadows,4,Value,Fling,Turns every creature death into a fistful of damage to a player.
Bedevil,3,Core,Dark Banishing,Premium instant removal — hits creatures\, artifacts\, and planeswalkers.
Bond of Agony,3,Value,Reckless Abandon,X-drain finisher that converts your life lead into a kill.
Dreadbore,1,Value,Nameless Inversion,Cheap\, efficient sorcery-speed removal for the early game.
