Card,Price,Tier,Replaces,Reason
Goldspan Dragon,,Core,Burrog Banemaker,"82% of Smaug, Wicked Worm's decks run this."
Mirkwood Bats,,Core,Cackling Witch,"76% of Smaug, Wicked Worm's decks run this."
Xorn,,Core,Case of the Burning Masks,"74% of Smaug, Wicked Worm's decks run this."
Mayhem Devil,,Core,Dwarven Mauler,"69% of Smaug, Wicked Worm's decks run this."
Rain of Riches,,Core,Expressive Firedancer,"65% of Smaug, Wicked Worm's decks run this."
Cavern-Hoard Dragon,,Core,Front Porch Sentries,"65% of Smaug, Wicked Worm's decks run this."
Unexpected Windfall,,Value,Goblin Digging Team,"63% of Smaug, Wicked Worm's decks run this."
Reckless Fireweaver,,Value,Goblin Glasswright // Craft with Pride,"62% of Smaug, Wicked Worm's decks run this."
"Magda, Brazen Outlaw",,Value,Goblin Recruiter,"57% of Smaug, Wicked Worm's decks run this."
Grim Hireling,,Value,Mage Tower Referee,"56% of Smaug, Wicked Worm's decks run this."
Dragonskull Summit,,Core,Avengers Tower,"73% of Smaug, Wicked Worm's decks run this."
Blood Crypt,,Core,Avishkar Raceway,"66% of Smaug, Wicked Worm's decks run this."
Academy Manufactor,,Value,Baxter Building,"59% of Smaug, Wicked Worm's decks run this."
Luxury Suite,,Value,Crystal Vein,"55% of Smaug, Wicked Worm's decks run this."
