Card,Added,Replaced,Source
Smaug the Magnificent,2026-08-15,"Azog, Moria's Ruin",share
Professional Face-Breaker,2026-08-15,Bile-Vial Boggart,share
Big Score,2026-08-15,Eerie Gravestone,free
Blasphemous Act,2026-08-15,Bolg's Company,share
Talisman of Indulgence,2026-08-15,Gastal Thrillseeker,free
The Reaver Cleaver,2026-08-15,"Kolaghan, the Storm's Fury",free
Chaos Warp,2026-08-15,Nova Hellkite,free
Smaug the Impenetrable,2026-08-15,Obsidian Charmaw,share
Terminate,2026-08-15,Two-Headed Dragon,share
Sulfurous Springs,2026-08-15,Akoum Refuge,free
Exotic Orchard,2026-08-15,Ash Barrens,share
Foreboding Ruins,2026-08-15,Avengers Tower,free
Mountain,2026-08-15,Baxter Building,free
