Name,Type
Arcane Signet,Artifact
Sol Ring,Artifact
Rampant Growth,Sorcery
Thought Vessel,Artifact
Up the Beanstalk,Enchantment
Cultivate,Sorcery
Fellwar Stone,Artifact
Temur Ascendancy,Enchantment
Gilded Goose,Creature
Llanowar Elves,Creature
Farseek,Sorcery
Moss Diamond,Artifact
Talisman of Progress,Artifact
Sky Diamond,Artifact
Think Twice,Instant
Insight,Enchantment
Reconnaissance Mission,Enchantment
"Selvala, Heart of the Wilds",Creature
"Smaug, Wicked Worm",Creature
Winged Words,Sorcery
Opportunity,Instant
Assassin's Trophy,Instant
Kindred Discovery,Enchantment
Seal of Cleansing,Enchantment
Seal of Fire,Enchantment
Shatter,Instant
Smite,Instant
Vendetta,Instant
Chaos Warp,Instant
Crux of Fate,Sorcery
Culling Ritual,Sorcery
Dragon Tempest,Enchantment
Counterspell,Instant
"Ureni, the Song Unending",Creature
Rhythm of the Wild,Enchantment
Nature's Lore,Sorcery
Path to Exile,Instant
Swords to Plowshares,Instant
Lightning Greaves,Artifact
Rhystic Study,Enchantment
Roaming Throne,Artifact
Chromatic Lantern,Artifact
Heroic Intervention,Instant
