Card,Price,Tier,Replaces,Reason
"Fíli and Kíli, Joyous",,Core,Explorer's Scope,"88% of Thorin, King of Durin's Folk's decks run this."
"Glóin, Dwarf Emissary",,Core,Getaway Glamer,"82% of Thorin, King of Durin's Folk's decks run this."
"Magda, Brazen Outlaw",,Core,Giant's Boulder,"80% of Thorin, King of Durin's Folk's decks run this."
Gimli of the Glittering Caves,,Core,Pacifism,"77% of Thorin, King of Durin's Folk's decks run this."
"Ori, Plate Stacker",,Core,Planar Collapse,"70% of Thorin, King of Durin's Folk's decks run this."
The Arkenstone,,Core,Requisition Raid,"66% of Thorin, King of Durin's Folk's decks run this."
Dáin of the Ancient Halls,,Value,Spectacular Tactics,"64% of Thorin, King of Durin's Folk's decks run this."
"Thorin, Company's Leader",,Value,Stark Industries Executive,"61% of Thorin, King of Durin's Folk's decks run this."
Mines of Moria,,Core,Thriving Bluff,"66% of Thorin, King of Durin's Folk's decks run this."
Sundown Pass,,Value,Villainous Hideout,"55% of Thorin, King of Durin's Folk's decks run this."
Dwarven Mine,,Value,Secret Tunnel,"55% of Thorin, King of Durin's Folk's decks run this."
