Card,Added,Replaced,Source
Arcane Signet,2026-08-21,Desolation of Smaug,share
Swords to Plowshares,2026-08-21,Vow to Erebor,share
Path to Exile,2026-08-21,Hofri Ghostforge,share
The Reaver Cleaver,2026-08-21,"Sting, Bilbo's Sword",free
Smaug the Magnificent,2026-08-21,Disenchant,share
Battlefield Forge,2026-08-21,Asgardian Citadel,share
Path of Ancestry,2026-08-21,Fields of Strife,share
Spectator Seating,2026-08-21,Mistveil Plains,share
Rogue's Passage,2026-08-21,Rocky Roads,share
Exotic Orchard,2026-08-21,Sacred Peaks,share
