Card,Added,Replaced,Source
Brass Knuckles,2026-08-17,Balamb T-Rexaur,manual-replace
Masterwork of Ingenuity,2026-08-17,Saber-Tooth Moose-Lion,manual-replace
Forest,2026-08-17,Worn Powerstone,manual-replace
Forest,2026-08-17,Hedron Archive,manual-replace
Swiftfoot Boots,2026-08-17,Mycoloth,share
Snakeskin Veil,2026-08-17,Savage Land Dinosaur,share
Heroic Intervention,2026-08-17,"Terrian, World Tyrant",share
Beast Within,2026-08-17,Ancestral Mask,share
Evolving Wilds,2026-08-17,Ash Barrens,free
Fabled Passage,2026-08-17,High Market,share
Rogue's Passage,2026-08-17,Command Tower,share
Cultivate,2026-08-17,"Spider-Man, Brooklyn Visionary",share
Sword of the Animist,2026-08-17,Burnished Hart,share
Sakura-Tribe Elder,2026-08-17,Grow from the Ashes,share
Nature's Lore,2026-08-17,Professional Wrestler,share
Rampant Growth,2026-08-17,They Went This Way,share
Planar Engineering,2026-08-17,Yavimaya Granger,free
