Name,Type
Mystical Tutor,Instant
Swords to Plowshares,Instant
Counterspell,Instant
Infernal Grasp,Instant
Absorb,Instant
Void Rend,Instant
Soul Shatter,Instant
Snuff Out,Instant
Lethal Scheme,Instant
Curiosity,Enchantment
Force of Will,Instant
Misdirection,Instant
Sublime Epiphany,Instant
Dig Through Time,Instant
Exsanguinate,Sorcery
Syphon Mind,Sorcery
Dark Ritual,Instant
Toxic Deluge,Sorcery
Vindicate,Sorcery
Godless Shrine,Land
Watery Grave,Land
"G'raha Tia, Scion Reborn",Creature
Frantic Search,Instant
Transpose,Instant
Cleansing Nova,Sorcery
Talisman of Progress,Artifact
Talisman of Dominance,Artifact
Talisman of Hierarchy,Artifact
Authority of the Consuls,Enchantment
Rhystic Study,Enchantment
Bastion of Remembrance,Enchantment
Propaganda,Enchantment
Sol Ring,Artifact
Commander's Sphere,Artifact
Arcane Signet,Artifact
Fellwar Stone,Artifact
Thought Vessel,Artifact
Lightning Greaves,Artifact
Archaeomancer's Map,Artifact
Relic of Legends,Artifact
Solemn Simulacrum,Creature
Read the Bones,Sorcery
Night's Whisper,Sorcery
Murderous Rider // Swift End,Creature
Baleful Strix,Creature
Blood Artist,Creature
Archmage Emeritus,Creature
"Vito, Thorn of the Dusk Rose",Creature
Sun Titan,Creature
Observed Stasis,Enchantment
Krile Baldesion,Creature
Contaminated Aquifer,Land
Painful Truths,Sorcery
