Card,Price,Tier,Replaces,Reason
Cyclonic Rift,35,Luxury,Cleansing Nova,The premier one-sided reset in blue. NOTE: a Game Changer — raises your bracket.
Esper Sentinel,25,Core,Baleful Strix,Best white card-advantage engine; taxes noncreature spells for cards.
Smothering Tithe,25,Luxury,Commander's Sphere,Ramp + card advantage every opponent draw. NOTE: a Game Changer.
Farewell,8,Value,,Modal exile wipe — pick exactly what you need. NOTE: a Game Changer.
Archmage's Charm,8,Value,Sublime Epiphany,Flexible hard counter / removal / card draw for a control shell.
Drown in the Loch,4,Value,Misdirection,Scales into a counter-and-kill as graveyards fill — perfect for grind.
Anguished Unmaking,3,Core,Soul Shatter,Answers literally any nonland permanent at instant speed.
Sceptre of Eternal Glory,3,Value,Fellwar Stone,Ramp that scales with your basics-light Esper base; fixes and accelerates.
Curiosity,,Value,Syphon Mind,"63% of Y'shtola, Night's Blessed's decks run this."
Watery Grave,,Value,Contaminated Aquifer,"56% of Y'shtola, Night's Blessed's decks run this."
Godless Shrine,,Value,Sunlit Marsh,"56% of Y'shtola, Night's Blessed's decks run this."
Painful Truths,1,Value,Read the Bones,"Strict upgrade in 3-color: converge draws 3 for 3 life. Was swapped in 2026-08-11 but not actually owned — buy it, then pull Read the Bones."
Hallowed Fountain,,Value,Demolition Field,"55% of Y'shtola, Night's Blessed's decks run this."
