Card,Added,Replaced,Source
Hidden Lair,2026-07-31,Idyllic Beachfront,free
Gleaming Bastion,2026-07-31,Contaminated Aquifer,free
Evolving Wilds,2026-07-31,Gleaming Bastion,free
"G'raha Tia, Scion Reborn",2026-08-09,Ambition's Cost,free
Tataru Taru,2026-08-09,Extinction Event,free
Observed Stasis,2026-08-09,Hidden Lair,free
Syphon Mind,2026-08-09,Profane Command,free
Risky Shortcut,2026-08-09,Serra Paragon,free
Eye of Nidhogg,2026-08-09,Sphinx's Revelation,free
Dancer's Chakrams,2026-08-09,Staggering Insight,free
White Auracite,2026-08-09,The Kingpin of Crime,free
"Hermes, Overseer of Elpis",2026-08-09,Time Wipe,free
Painful Truths,2026-08-11,Read the Bones,manual-replace
